archetype,account_age_days,followers,following,posts_per_day,profile_completeness,follow_burst_rate,posting_variance,engagement_rate,is_fake
active_human,667,162,156,1.05,0.85,0.17,0.27,0.1072,0
spambot,13,49,1714,24.07,0.19,0.83,0.94,0.0026,1
active_human,202,185,243,0.27,0.9,0.07,0.24,0.1153,0
active_human,487,294,410,1.05,0.73,0.27,0.21,0.0866,0
active_human,186,271,335,0.91,0.68,0.04,0.26,0.1198,0
spambot,4,38,2420,22.45,0.1,0.92,0.89,0.002,1
active_human,513,1108,1448,1.8,0.86,0.2,0.21,0.0445,0
creator_human,1545,180939,463,2.85,0.9,0.13,0.18,0.1182,0
compromised_bot,1858,789,4347,24.68,0.69,0.85,0.64,0.0065,1
active_human,504,25,37,2.26,0.69,0.05,0.23,0.0272,0
spambot,11,58,2766,58.8,0.11,0.87,0.84,0.0001,1
active_human,245,624,640,2.31,0.61,0.13,0.18,0.0661,0
spambot,55,57,4201,43.29,0.4,0.96,0.77,0.0024,1
compromised_bot,1743,1138,7871,44.02,0.66,0.74,0.69,0.0071,1
spambot,14,26,7089,16.25,0.31,0.93,0.88,0.0028,1
follow_bot,54,127,8220,0.8,0.23,0.97,0.59,0.0012,1
lurker_human,351,106,250,0.11,0.6,0.03,0.15,0.0271,0
spambot,4,16,7213,60.13,0.39,0.8,0.79,0.0011,1
active_human,383,254,286,1.87,0.85,0.1,0.34,0.0822,0
active_human,698,432,293,0.21,0.73,0.08,0.17,0.0377,0
active_human,366,448,612,0.22,0.89,0.06,0.26,0.1136,0
active_human,841,235,262,0.95,0.68,0.09,0.22,0.0508,0
active_human,1011,935,1295,2.09,0.87,0.05,0.32,0.0622,0
active_human,720,196,208,0.29,0.71,0.08,0.14,0.0766,0
compromised_bot,2162,580,4948,16.62,0.82,0.73,0.88,0.0079,1
spambot,1,27,3533,38.07,0.16,0.81,0.88,0.0007,1
active_human,836,99,98,0.98,0.96,0.04,0.32,0.0396,0
lurker_human,531,31,250,0.05,0.52,0.03,0.29,0.0124,0
lurker_human,826,89,236,0.03,0.56,0.11,0.21,0.0304,0
active_human,312,525,579,1.24,0.75,0.21,0.28,0.0312,0
active_human,930,195,252,1.21,0.97,0.14,0.34,0.0665,0
lurker_human,517,96,375,0.03,0.51,0.09,0.18,0.0246,0
spambot,23,30,4310,19.29,0.3,0.81,0.96,0.0001,1
creator_human,1848,10005,247,2.47,0.98,0.09,0.19,0.1165,0
compromised_bot,1615,606,5036,18.89,0.52,0.7,0.63,0.0045,1
compromised_bot,1981,365,5161,27.03,0.72,0.76,0.65,0.0051,1
lurker_human,317,21,252,0.12,0.43,0.09,0.3,0.0429,0
spambot,59,33,1815,34.98,0.25,0.88,0.81,0.003,1
active_human,440,131,153,1.66,0.5,0.03,0.39,0.1124,0
creator_human,1237,9267,201,2.07,0.95,0.05,0.31,0.1292,0
active_human,681,267,227,1.16,0.59,0.14,0.11,0.1085,0
lurker_human,505,52,69,0.02,0.45,0.09,0.25,0.0521,0
active_human,814,110,119,1.9,0.84,0.06,0.11,0.0966,0
lurker_human,689,80,93,0.06,0.6,0.03,0.22,0.0274,0
active_human,314,288,263,0.67,0.55,0.15,0.17,0.1122,0
active_human,202,121,139,1.77,0.95,0.2,0.22,0.0615,0
spambot,13,71,1529,30.89,0.32,0.95,0.77,0.0021,1
spambot,24,44,3210,39.75,0.17,0.81,0.84,0.0017,1
active_human,479,391,464,0.25,0.9,0.21,0.29,0.1184,0
creator_human,781,108104,393,1.52,0.89,0.15,0.18,0.125,0
active_human,597,48,95,1.67,0.77,0.11,0.27,0.0929,0
active_human,286,241,206,0.61,0.94,0.25,0.13,0.0954,0
lurker_human,378,104,393,0.1,0.56,0.1,0.15,0.0509,0
creator_human,1761,3672,846,3.2,0.96,0.09,0.18,0.0357,0
active_human,886,736,940,0.9,0.93,0.13,0.23,0.0831,0
spambot,45,49,2111,18.97,0.33,0.8,0.83,0.0025,1
active_human,701,63,89,1.92,0.86,0.01,0.19,0.0911,0
active_human,317,100,111,2.21,0.76,0.08,0.27,0.1046,0
spambot,12,66,6260,21.34,0.12,0.97,0.79,0.0008,1
creator_human,1080,19107,571,1.57,0.91,0.19,0.27,0.0404,0
active_human,654,486,434,0.22,0.95,0.18,0.37,0.0948,0
spambot,4,55,3511,41.64,0.24,0.81,0.83,0.0019,1
lurker_human,413,32,54,0.01,0.55,0.03,0.07,0.0536,0
spambot,8,78,4414,15.99,0.3,0.76,0.96,0.0018,1
creator_human,669,13693,354,2.12,0.97,0.07,0.31,0.0644,0
active_human,118,279,326,1.09,0.78,0.08,0.24,0.066,0
compromised_bot,1766,789,7532,31.53,0.64,0.81,0.63,0.0072,1
creator_human,2114,9481,1170,1.64,0.89,0.17,0.27,0.0966,0
spambot,26,49,5738,25.06,0.2,0.97,0.78,0.0026,1
active_human,329,185,142,1.02,0.64,0.17,0.25,0.0764,0
active_human,422,462,370,0.63,0.91,0.05,0.19,0.0732,0
spambot,1,18,3593,23.27,0.23,0.83,0.76,0.0016,1
follow_bot,10,57,5917,0.31,0.29,0.91,0.79,0.0007,1
compromised_bot,1958,371,6386,22.96,0.62,0.84,0.67,0.0035,1
follow_bot,36,27,3687,0.93,0.52,0.98,0.7,0.0013,1
lurker_human,237,86,110,0.03,0.64,0.11,0.28,0.0517,0
active_human,631,289,422,0.85,0.91,0.16,0.14,0.1057,0
spambot,2,73,2762,41.06,0.18,0.96,0.8,0.0005,1
compromised_bot,1868,744,6677,24.14,0.81,0.82,0.66,0.0014,1
creator_human,1625,9349,1100,2.87,0.91,0.09,0.17,0.0548,0
spambot,18,19,6338,60.38,0.26,0.91,0.91,0.0028,1
spambot,3,50,3693,51.52,0.33,0.94,0.85,0.0019,1
compromised_bot,1200,315,4623,40.92,0.67,0.77,0.62,0.0031,1
active_human,993,160,206,2.04,0.75,0.02,0.34,0.0584,0
lurker_human,624,110,128,0.12,0.6,0.09,0.23,0.034,0
active_human,352,79,105,0.28,0.95,0.1,0.39,0.0223,0
follow_bot,38,23,5549,0.83,0.37,0.98,0.8,0.0001,1
spambot,7,60,1758,18.68,0.42,0.85,0.77,0.0012,1
active_human,497,172,254,0.53,0.89,0.1,0.18,0.0583,0
active_human,880,123,113,1.28,0.9,0.06,0.16,0.1186,0
follow_bot,28,155,3012,0.45,0.38,0.96,0.61,0.0,1
active_human,521,551,676,2.48,0.76,0.16,0.16,0.1134,0
follow_bot,24,180,8866,0.15,0.26,0.99,0.67,0.0018,1
spambot,51,10,4666,31.81,0.23,0.83,0.82,0.0017,1
creator_human,599,3896,487,4.42,0.93,0.12,0.21,0.0709,0
active_human,361,212,265,1.18,0.9,0.15,0.14,0.0913,0
compromised_bot,1840,788,7950,26.96,0.66,0.77,0.68,0.0012,1
spambot,35,11,5913,26.86,0.34,0.97,0.81,0.0015,1
active_human,945,182,127,1.5,0.71,0.08,0.14,0.0752,0
active_human,1381,242,196,0.2,0.89,0.02,0.11,0.1184,0
lurker_human,783,114,232,0.12,0.57,0.08,0.09,0.0434,0
active_human,462,176,281,1.42,0.72,0.14,0.12,0.0591,0
follow_bot,40,41,6103,0.23,0.42,0.87,0.73,0.0013,1
creator_human,1118,10407,1133,3.3,0.98,0.21,0.18,0.1253,0
spambot,27,34,6306,32.38,0.33,0.89,0.86,0.0026,1
follow_bot,48,123,3659,1.01,0.54,0.86,0.5,0.002,1
lurker_human,149,98,226,0.11,0.46,0.04,0.07,0.0524,0
spambot,9,30,6410,23.32,0.23,0.95,0.78,0.0023,1
active_human,678,210,268,0.59,0.8,0.05,0.11,0.1188,0
lurker_human,395,81,128,0.04,0.52,0.08,0.07,0.0487,0
spambot,26,29,7267,49.45,0.36,0.86,0.8,0.0002,1
active_human,740,137,193,1.66,0.86,0.05,0.36,0.1039,0
spambot,11,16,6207,37.8,0.33,0.72,0.98,0.0003,1
active_human,448,153,211,0.42,0.9,0.1,0.22,0.087,0
active_human,450,496,517,2.21,0.71,0.05,0.37,0.0454,0
active_human,1401,156,206,1.16,0.87,0.12,0.27,0.089,0
active_human,452,497,368,2.01,0.8,0.07,0.35,0.113,0
spambot,34,6,6996,48.89,0.44,0.87,0.85,0.0008,1
active_human,755,114,181,1.02,0.94,0.16,0.21,0.0623,0
creator_human,1654,20206,966,1.22,0.91,0.17,0.28,0.0923,0
compromised_bot,889,977,5023,18.81,0.61,0.76,0.69,0.0016,1
active_human,391,617,740,0.89,0.78,0.02,0.3,0.1055,0
active_human,219,612,604,0.34,0.88,0.38,0.38,0.0964,0
spambot,14,14,6229,33.07,0.24,0.91,0.79,0.0025,1
lurker_human,356,148,289,0.05,0.61,0.06,0.12,0.0305,0
compromised_bot,1800,1339,5300,10.65,0.71,0.65,0.74,0.007,1
active_human,537,73,101,1.01,0.82,0.18,0.17,0.0444,0
active_human,529,434,541,1.36,0.86,0.04,0.31,0.109,0
active_human,494,483,563,2.49,0.9,0.21,0.11,0.0892,0
active_human,249,196,234,1.36,0.74,0.22,0.39,0.0879,0
spambot,2,50,6452,19.89,0.44,0.82,0.76,0.0024,1
lurker_human,551,142,114,0.04,0.64,0.05,0.24,0.0312,0
active_human,401,511,413,2.49,0.83,0.04,0.13,0.1168,0
lurker_human,962,31,81,0.13,0.67,0.04,0.29,0.056,0
creator_human,613,75346,610,1.54,0.9,0.05,0.35,0.1268,0
compromised_bot,2117,759,3527,36.16,0.54,0.88,0.79,0.0079,1
active_human,576,129,222,2.44,0.78,0.22,0.35,0.0318,0
spambot,9,65,1692,43.95,0.2,0.73,0.75,0.0013,1
active_human,734,250,300,0.34,0.87,0.03,0.14,0.0793,0
compromised_bot,1903,1495,6655,13.67,0.83,0.67,0.83,0.0079,1
active_human,873,740,1032,1.04,0.87,0.06,0.3,0.0673,0
follow_bot,19,51,3185,0.21,0.5,0.98,0.48,0.0001,1
spambot,16,17,2414,36.43,0.44,0.92,0.85,0.0027,1
compromised_bot,2480,1157,6375,38.7,0.54,0.84,0.65,0.002,1
lurker_human,991,87,146,0.09,0.56,0.09,0.18,0.0375,0
compromised_bot,2012,1399,5856,41.27,0.57,0.85,0.63,0.0048,1
spambot,17,66,6221,50.64,0.13,0.72,0.83,0.0001,1
active_human,801,369,474,2.4,0.66,0.0,0.38,0.0468,0
lurker_human,1305,125,182,0.05,0.5,0.03,0.26,0.0233,0
spambot,2,5,3343,34.16,0.4,0.87,0.86,0.0024,1
compromised_bot,1571,678,7113,26.2,0.6,0.85,0.75,0.0045,1
active_human,522,162,228,0.25,0.82,0.02,0.22,0.068,0
active_human,501,140,224,0.91,0.95,0.14,0.29,0.0729,0
creator_human,1395,80365,1153,3.08,0.86,0.11,0.27,0.0856,0
active_human,442,458,489,0.61,0.91,0.19,0.25,0.0321,0
active_human,369,321,419,1.16,0.71,0.33,0.19,0.0889,0
lurker_human,207,80,390,0.07,0.59,0.04,0.13,0.0427,0
active_human,305,545,664,0.74,0.59,0.14,0.23,0.0238,0
creator_human,1272,37082,709,3.8,0.95,0.13,0.31,0.0452,0
active_human,911,263,307,1.91,0.83,0.2,0.13,0.0882,0
active_human,1171,346,396,0.62,0.83,0.06,0.37,0.0805,0
active_human,525,415,554,1.79,0.76,0.02,0.18,0.0274,0
active_human,436,368,350,1.88,0.83,0.12,0.35,0.0801,0
lurker_human,384,130,380,0.04,0.71,0.12,0.09,0.0248,0
spambot,2,79,3637,48.22,0.23,0.94,0.86,0.0016,1
follow_bot,56,112,5267,0.12,0.46,0.92,0.75,0.0001,1
follow_bot,9,98,4761,1.12,0.28,0.88,0.67,0.0003,1
lurker_human,758,76,223,0.11,0.73,0.11,0.26,0.0122,0
spambot,10,23,5676,17.06,0.15,0.78,0.77,0.0027,1
active_human,718,595,734,2.14,0.85,0.11,0.33,0.0418,0
lurker_human,1388,22,209,0.11,0.5,0.11,0.19,0.0333,0
creator_human,1381,8348,1109,1.14,0.97,0.11,0.23,0.1049,0
compromised_bot,968,794,7545,41.59,0.58,0.89,0.82,0.0039,1
lurker_human,1138,133,385,0.04,0.73,0.12,0.19,0.0194,0
creator_human,1130,25662,959,1.0,0.98,0.18,0.19,0.0304,0
compromised_bot,1039,824,4306,25.15,0.69,0.87,0.65,0.0024,1
active_human,149,877,981,0.24,0.79,0.17,0.17,0.0531,0
active_human,913,162,156,0.25,0.94,0.02,0.23,0.0295,0
spambot,35,32,3217,37.78,0.28,0.97,0.76,0.0019,1
compromised_bot,1248,1062,7767,44.37,0.5,0.74,0.89,0.0021,1
spambot,13,31,3392,58.66,0.3,0.86,0.79,0.0002,1
spambot,15,39,5177,22.9,0.36,0.89,0.78,0.0002,1
lurker_human,318,143,279,0.04,0.54,0.03,0.29,0.0222,0
active_human,362,1407,1947,2.37,0.8,0.13,0.3,0.0871,0
follow_bot,41,96,6163,0.54,0.59,0.9,0.5,0.0016,1
lurker_human,394,80,310,0.05,0.64,0.09,0.1,0.022,0
active_human,282,520,632,2.23,0.87,0.05,0.36,0.0423,0
creator_human,1140,14339,463,4.21,0.87,0.09,0.24,0.1198,0
spambot,6,55,3413,27.88,0.17,0.77,0.84,0.0022,1
lurker_human,363,68,321,0.03,0.47,0.02,0.29,0.054,0
creator_human,918,7778,115,1.23,0.92,0.07,0.33,0.1295,0
creator_human,559,1720,1147,1.52,0.99,0.22,0.33,0.045,0
compromised_bot,1914,1448,6027,42.7,0.81,0.9,0.89,0.003,1
active_human,891,55,83,1.75,0.79,0.13,0.18,0.0915,0
spambot,27,26,7438,38.62,0.17,0.91,0.97,0.0024,1
active_human,763,442,363,1.86,0.78,0.36,0.14,0.0414,0
active_human,962,509,471,2.17,0.84,0.02,0.11,0.1101,0
active_human,1453,464,575,1.19,0.94,0.11,0.19,0.079,0
lurker_human,1458,109,317,0.04,0.48,0.08,0.17,0.0387,0
lurker_human,673,124,150,0.04,0.63,0.01,0.12,0.048,0
lurker_human,510,30,59,0.01,0.62,0.03,0.09,0.0401,0
lurker_human,949,44,263,0.05,0.43,0.05,0.13,0.0489,0
compromised_bot,2148,407,4621,38.17,0.69,0.78,0.74,0.001,1
active_human,578,317,270,1.7,0.98,0.26,0.2,0.1197,0
follow_bot,27,178,4438,0.39,0.36,0.93,0.44,0.0016,1
compromised_bot,843,1384,3822,37.22,0.53,0.66,0.64,0.0069,1
active_human,1720,268,384,1.16,0.95,0.28,0.18,0.0868,0
creator_human,650,10388,789,1.24,0.92,0.11,0.21,0.0745,0
active_human,710,215,284,1.33,0.63,0.29,0.3,0.1156,0
spambot,9,31,2621,63.29,0.14,0.94,0.99,0.003,1
spambot,10,57,2580,45.52,0.21,0.87,0.78,0.0019,1
follow_bot,56,49,4590,0.84,0.43,0.85,0.54,0.0015,1
compromised_bot,2223,1457,7167,22.68,0.61,0.83,0.78,0.0016,1
active_human,973,374,463,2.07,0.72,0.01,0.13,0.0833,0
spambot,30,11,6054,47.67,0.33,0.71,0.86,0.0017,1
spambot,6,74,3475,34.79,0.35,0.75,0.82,0.0028,1
spambot,35,9,6382,58.25,0.33,0.85,0.77,0.0025,1
active_human,546,157,201,1.7,0.78,0.12,0.32,0.0966,0
active_human,692,1460,1856,2.46,0.95,0.38,0.19,0.1071,0
lurker_human,1407,59,179,0.07,0.71,0.07,0.15,0.0227,0
lurker_human,331,33,201,0.02,0.68,0.08,0.22,0.0213,0
active_human,461,194,255,1.29,0.88,0.03,0.14,0.1106,0
active_human,415,465,684,1.1,0.75,0.02,0.3,0.0321,0
lurker_human,219,37,372,0.15,0.59,0.1,0.14,0.0142,0
active_human,170,398,469,0.36,0.94,0.04,0.18,0.0266,0
compromised_bot,2291,1054,5624,13.75,0.68,0.89,0.69,0.0028,1
active_human,554,104,141,0.38,0.87,0.07,0.19,0.0537,0
creator_human,1411,11000,369,2.94,0.86,0.15,0.24,0.0568,0
follow_bot,5,33,7888,1.24,0.58,0.97,0.78,0.0015,1
active_human,851,152,154,0.54,0.64,0.18,0.2,0.0734,0
spambot,9,7,5484,15.43,0.43,0.92,0.99,0.0028,1
follow_bot,9,84,7752,1.38,0.45,0.88,0.7,0.0002,1
active_human,1091,546,757,2.32,0.59,0.17,0.25,0.0422,0
spambot,8,41,1983,27.01,0.38,0.96,0.93,0.0001,1
spambot,5,75,6566,53.04,0.2,0.74,0.79,0.002,1
lurker_human,1479,110,367,0.08,0.71,0.09,0.2,0.0575,0
spambot,8,5,6268,63.91,0.28,0.7,0.92,0.0017,1
active_human,358,353,395,2.13,0.78,0.17,0.39,0.0877,0
compromised_bot,2213,356,5476,30.78,0.77,0.66,0.63,0.0075,1
follow_bot,39,154,5932,1.1,0.6,0.91,0.74,0.0002,1
lurker_human,613,54,230,0.02,0.56,0.06,0.13,0.0574,0
active_human,152,97,102,2.5,0.77,0.02,0.34,0.0997,0
active_human,266,156,230,2.24,0.8,0.05,0.28,0.0739,0
compromised_bot,2468,509,7022,40.46,0.83,0.76,0.89,0.0034,1
creator_human,1038,20100,775,3.16,0.87,0.25,0.2,0.0327,0
active_human,179,420,322,2.03,0.8,0.1,0.15,0.0275,0
follow_bot,55,40,3680,0.32,0.59,0.85,0.6,0.0001,1
follow_bot,57,49,7555,0.29,0.28,0.86,0.49,0.0001,1
follow_bot,16,25,5745,1.39,0.34,0.88,0.52,0.0002,1
follow_bot,45,130,8745,0.25,0.34,0.89,0.46,0.0016,1
active_human,533,268,234,1.2,0.87,0.17,0.24,0.0623,0
active_human,816,333,404,1.22,0.57,0.22,0.1,0.1062,0
lurker_human,255,124,390,0.11,0.51,0.07,0.13,0.0422,0
follow_bot,52,169,5138,1.09,0.3,0.91,0.46,0.0001,1
creator_human,754,7642,114,1.95,0.99,0.09,0.2,0.1322,0
creator_human,1276,5091,317,1.27,0.99,0.15,0.3,0.1146,0
active_human,454,348,367,1.68,0.78,0.13,0.21,0.046,0
follow_bot,17,167,7678,0.84,0.45,0.98,0.46,0.0009,1
active_human,253,193,264,1.63,0.53,0.07,0.24,0.1152,0
active_human,429,94,129,0.69,0.76,0.08,0.17,0.0364,0
active_human,227,371,437,1.38,0.88,0.07,0.16,0.0983,0
follow_bot,48,185,6301,1.01,0.24,0.93,0.54,0.0004,1
spambot,33,17,5115,49.71,0.32,0.96,0.83,0.001,1
spambot,3,9,6444,15.77,0.31,0.92,0.8,0.0009,1
active_human,152,666,956,2.43,0.76,0.17,0.21,0.0817,0
active_human,721,499,518,1.64,0.6,0.07,0.22,0.1104,0
follow_bot,39,29,4613,0.69,0.23,0.96,0.62,0.0019,1
active_human,1227,468,321,0.81,0.73,0.02,0.26,0.1111,0
compromised_bot,2174,496,7680,30.48,0.67,0.88,0.84,0.0057,1
follow_bot,45,60,4312,1.19,0.57,0.96,0.75,0.0,1
compromised_bot,1918,866,5023,24.0,0.52,0.71,0.74,0.0077,1
creator_human,725,25206,833,3.65,0.92,0.23,0.29,0.0467,0
active_human,677,688,947,1.93,0.65,0.56,0.39,0.0557,0
follow_bot,10,83,3918,1.1,0.5,0.86,0.46,0.0005,1
compromised_bot,1032,951,5584,43.72,0.74,0.86,0.87,0.0031,1
active_human,348,166,226,2.03,0.78,0.12,0.23,0.1048,0
follow_bot,48,116,4761,1.18,0.5,0.95,0.52,0.0016,1
creator_human,846,51600,765,3.13,0.99,0.09,0.23,0.14,0
spambot,3,16,4705,52.8,0.33,0.74,0.76,0.002,1
creator_human,930,4178,229,4.37,0.88,0.11,0.29,0.0933,0
active_human,429,70,80,1.03,0.88,0.02,0.24,0.1035,0
active_human,839,366,437,1.08,0.79,0.06,0.25,0.1073,0
spambot,4,49,7063,30.29,0.35,0.97,0.82,0.0018,1
compromised_bot,880,510,6587,14.27,0.77,0.69,0.87,0.0043,1
follow_bot,34,85,7669,1.08,0.45,0.87,0.47,0.0013,1
spambot,15,65,4117,52.3,0.19,0.9,0.85,0.002,1
active_human,705,160,211,1.42,0.78,0.01,0.12,0.0977,0
creator_human,1886,34345,530,2.77,0.9,0.17,0.31,0.0526,0
creator_human,1900,8776,669,2.57,0.87,0.13,0.18,0.1451,0
compromised_bot,1315,1495,7965,23.11,0.81,0.74,0.79,0.0023,1
follow_bot,7,90,4486,1.44,0.22,0.94,0.43,0.0013,1
active_human,258,299,317,1.88,0.62,0.07,0.27,0.0628,0
active_human,739,756,724,2.49,0.79,0.1,0.3,0.0459,0
active_human,501,119,151,1.84,0.76,0.05,0.21,0.0634,0
follow_bot,56,91,7826,1.44,0.26,0.97,0.48,0.0018,1
active_human,457,84,126,0.97,0.5,0.05,0.25,0.0277,0
compromised_bot,2424,221,4180,10.48,0.52,0.8,0.62,0.0041,1
active_human,258,81,63,0.84,0.79,0.09,0.31,0.0798,0
lurker_human,617,109,60,0.03,0.74,0.03,0.25,0.0232,0
active_human,960,198,276,0.68,0.83,0.21,0.35,0.1002,0
compromised_bot,2100,1331,6498,17.59,0.63,0.84,0.69,0.0019,1
spambot,2,7,6438,41.35,0.15,0.9,0.94,0.0022,1
lurker_human,1504,121,113,0.14,0.59,0.02,0.08,0.0288,0
lurker_human,687,29,362,0.14,0.56,0.06,0.16,0.0315,0
lurker_human,176,144,313,0.05,0.61,0.09,0.11,0.0274,0
active_human,540,422,503,2.46,0.74,0.26,0.35,0.0873,0
compromised_bot,1455,268,6753,19.23,0.65,0.74,0.9,0.0023,1
active_human,425,317,410,2.09,0.84,0.1,0.33,0.0798,0
active_human,675,465,586,0.44,0.69,0.24,0.35,0.0513,0
follow_bot,16,80,7523,1.24,0.51,0.88,0.68,0.0013,1
active_human,691,494,381,1.55,0.93,0.12,0.11,0.0644,0
creator_human,843,2474,539,1.36,0.93,0.17,0.34,0.0639,0
active_human,785,171,147,1.69,0.98,0.27,0.36,0.0965,0
active_human,266,101,143,0.58,0.89,0.17,0.15,0.051,0
active_human,405,169,129,1.87,0.93,0.48,0.39,0.0372,0
active_human,1150,477,681,1.25,0.81,0.01,0.14,0.064,0
creator_human,957,9487,111,1.02,0.96,0.12,0.27,0.0551,0
spambot,12,24,5214,15.31,0.25,0.75,0.97,0.0003,1
spambot,7,45,5093,21.65,0.37,0.97,0.98,0.0008,1
active_human,439,108,88,1.78,0.9,0.12,0.16,0.0671,0
active_human,272,124,144,0.65,0.88,0.19,0.19,0.0352,0
lurker_human,616,99,178,0.08,0.49,0.12,0.14,0.029,0
lurker_human,449,120,204,0.12,0.66,0.07,0.21,0.0382,0
follow_bot,48,57,3751,1.29,0.56,0.97,0.76,0.002,1
lurker_human,630,88,113,0.07,0.73,0.06,0.16,0.0379,0
active_human,286,221,267,2.29,0.82,0.07,0.31,0.0488,0
active_human,819,331,325,1.08,0.78,0.08,0.22,0.0731,0
lurker_human,365,71,304,0.13,0.68,0.1,0.26,0.0137,0
creator_human,693,11647,678,2.66,0.89,0.09,0.26,0.0555,0
creator_human,1466,5967,765,1.85,0.89,0.13,0.15,0.1297,0
active_human,565,303,325,0.58,0.82,0.13,0.3,0.0813,0
creator_human,552,21011,253,2.35,0.95,0.1,0.31,0.1476,0
spambot,11,69,4509,64.11,0.2,0.86,0.86,0.0006,1
spambot,2,20,4890,25.57,0.29,0.94,0.96,0.0016,1
active_human,1146,114,110,0.8,0.71,0.06,0.25,0.12,0
follow_bot,5,179,8767,1.29,0.47,0.87,0.64,0.0013,1
spambot,2,17,3920,45.23,0.4,0.75,0.76,0.0024,1
active_human,880,190,194,1.67,0.77,0.13,0.31,0.0661,0
active_human,716,142,128,0.94,0.68,0.02,0.13,0.0527,0
active_human,419,384,469,1.11,0.84,0.14,0.31,0.0741,0
compromised_bot,1234,389,5287,21.89,0.76,0.75,0.63,0.0055,1
active_human,255,582,484,1.92,0.98,0.02,0.13,0.092,0
creator_human,1598,7024,838,2.7,1.0,0.12,0.2,0.1456,0
creator_human,810,4871,477,2.26,0.96,0.13,0.17,0.117,0
active_human,541,49,50,0.35,0.94,0.02,0.31,0.1085,0
lurker_human,849,48,244,0.12,0.74,0.1,0.14,0.0423,0
follow_bot,56,97,6833,1.4,0.38,1.0,0.78,0.0,1
lurker_human,674,67,389,0.14,0.43,0.01,0.29,0.0442,0
active_human,994,130,143,2.06,0.78,0.03,0.18,0.056,0
compromised_bot,1455,1039,6148,40.78,0.6,0.75,0.8,0.0034,1
compromised_bot,1544,1142,4211,37.83,0.57,0.84,0.79,0.0066,1
lurker_human,630,68,210,0.04,0.57,0.08,0.17,0.0297,0
compromised_bot,1044,451,3874,31.68,0.75,0.86,0.82,0.0069,1
active_human,129,345,489,0.57,0.74,0.02,0.18,0.0525,0
compromised_bot,2108,1379,4725,17.85,0.75,0.85,0.89,0.0042,1
active_human,643,182,176,1.99,0.6,0.19,0.32,0.0228,0
compromised_bot,2229,1124,6512,12.06,0.52,0.66,0.76,0.0069,1
active_human,237,233,303,1.11,0.85,0.06,0.12,0.0532,0
active_human,1093,915,769,0.31,0.7,0.04,0.21,0.0304,0
active_human,590,163,204,0.61,0.96,0.02,0.27,0.1023,0
creator_human,1402,40424,203,3.5,0.94,0.07,0.33,0.115,0
creator_human,1444,10773,626,3.26,0.86,0.19,0.25,0.0901,0
active_human,612,482,470,2.12,0.94,0.03,0.35,0.0861,0
active_human,744,367,513,0.93,0.59,0.15,0.13,0.0514,0
active_human,503,183,243,0.82,0.64,0.12,0.27,0.0812,0
compromised_bot,1739,356,5149,39.86,0.79,0.84,0.69,0.0029,1
active_human,563,563,809,0.59,0.74,0.07,0.31,0.0726,0
lurker_human,376,36,66,0.11,0.68,0.11,0.25,0.0273,0
lurker_human,585,84,319,0.03,0.64,0.08,0.25,0.0382,0
active_human,1128,169,175,2.07,0.87,0.07,0.28,0.0732,0
active_human,222,314,408,0.73,0.58,0.06,0.26,0.059,0
creator_human,1149,7685,330,4.17,0.97,0.16,0.32,0.0362,0
lurker_human,1152,85,346,0.12,0.52,0.08,0.3,0.0523,0
creator_human,1892,9511,525,3.61,0.97,0.06,0.16,0.1478,0
lurker_human,637,102,185,0.15,0.46,0.08,0.07,0.0357,0
lurker_human,409,143,82,0.09,0.71,0.09,0.26,0.0299,0
spambot,2,38,6381,46.47,0.4,0.84,0.76,0.0015,1
spambot,2,56,3870,17.72,0.14,0.87,0.96,0.0014,1
follow_bot,48,44,5125,0.32,0.43,0.93,0.44,0.0005,1
lurker_human,194,93,133,0.11,0.5,0.02,0.18,0.0272,0
creator_human,634,3345,268,1.47,0.91,0.2,0.26,0.0852,0
compromised_bot,1174,1079,6096,29.18,0.54,0.73,0.76,0.0024,1
follow_bot,56,92,6631,0.79,0.57,0.96,0.42,0.0004,1
active_human,442,117,113,2.02,0.68,0.07,0.17,0.027,0
creator_human,1379,17816,118,2.13,0.94,0.16,0.26,0.1227,0
active_human,882,883,694,1.37,0.84,0.21,0.15,0.0606,0
active_human,425,158,167,1.6,0.93,0.02,0.22,0.0969,0
spambot,5,35,6320,20.16,0.39,0.81,0.95,0.0016,1
active_human,695,990,703,2.37,0.85,0.04,0.35,0.0847,0
spambot,8,42,7070,59.54,0.11,0.8,0.77,0.0007,1
compromised_bot,803,638,4460,30.48,0.74,0.79,0.88,0.0061,1
follow_bot,17,147,6878,0.52,0.53,0.95,0.57,0.001,1
active_human,1154,97,138,1.96,0.63,0.05,0.1,0.0275,0
active_human,390,159,238,1.3,0.93,0.12,0.39,0.1077,0
spambot,9,54,2362,17.17,0.23,0.76,0.83,0.0012,1
active_human,201,608,864,0.71,0.87,0.19,0.36,0.0604,0
creator_human,587,11039,678,2.85,0.98,0.22,0.19,0.1377,0
compromised_bot,2228,218,7470,12.21,0.72,0.78,0.68,0.0032,1
compromised_bot,1821,1222,4166,42.13,0.71,0.86,0.7,0.0027,1
lurker_human,669,143,50,0.06,0.6,0.04,0.07,0.0381,0
active_human,494,67,82,1.24,0.84,0.05,0.11,0.0303,0
active_human,343,755,921,1.55,0.88,0.19,0.38,0.0312,0
spambot,5,69,5484,25.02,0.15,0.82,0.87,0.0025,1
